Job Title,Company,location,Salary Range,Work Type,Job Description,skills,qualifications
Software Engineer,Tech Solutions Inc.,"Kathmandu, Nepal","$80,000 - $100,000",Full-Time,"We are looking for a Software Engineer to develop high-quality applications. You will be responsible for coding, debugging, and deploying React and Node.js web applications.",React Node.js JavaScript Git SQL HTML CSS Software Engineering,Bsc.CSIT Bachelor in CSIT Bachelors in Computer Science
Data Scientist,Data Insights Ltd.,"Pokhara, Nepal","$90,000 - $120,000",Full-Time,"Join our team as a Data Scientist to build predictive models, analyze large data sets, and extract actionable insights using Python and Machine Learning techniques.",Python Machine Learning Data Science SQL Statistics NumPy Pandas,Msc PhD Bachelors in Computer Science Statistics Mathematics
React Developer,WebCraft Studios,"Lalitpur, Nepal","$60,000 - $80,000",Contract,"Looking for a frontend specialist with extensive experience in React, TypeScript, and modern UI design framework integration.",React TypeScript JavaScript HTML CSS Design Tailwind CSS UI Design,Bachelors in Computer Science Bsc.IT BIM BCA
Project Manager,Global Solutions,"Lalitpur, Nepal","$70,000 - $95,000",Full-Time,Seeking an experienced Project Manager to lead software development projects. Leadership and agile project management skills are required.,Project Management Leadership Management Communication Analysis agile,MBA BBA BBS Bachelor of Business Administration
Content Writer,Creative Media Corp,Remote,"$30,000 - $45,000",Part-Time,"We need a Content Writer to write SEO-optimized articles, blog posts, and website copies. Must have exceptional writing and editing skills.",Writing Editing Content Strategy SEO Research Communication Creative Writing,BA Master of Arts Bachelor of Arts Journalism
DevOps Engineer,CloudScale Systems,"Kathmandu, Nepal","$100,000 - $130,000",Full-Time,"Manage our cloud infrastructure and deployment pipelines. Implement CI/CD pipelines, Docker containers, and monitor AWS services.",Docker AWS DevOps CI/CD Linux Git bash scripting Kubernetes,BTech Bachelors in Computer Engineering BCE Bachelors in Information Technology
UI/UX Designer,Creative Minds Studio,"Kathmandu, Nepal","$50,000 - $70,000",Full-Time,"Designing user interfaces and user experiences for mobile and web platforms. Create wireframes, mockups, and work closely with backend developers.",Design UI/UX Figma Illustrator Photoshop wireframes Research,BFA Bachelor of Fine Arts Bachelor of Science Graphic Design
Marketing Executive,BrandBoosters Nepal,"Kathmandu, Nepal","$40,000 - $55,000",Full-Time,"Handle digital marketing campaigns, manage social media platforms, and execute marketing plans to promote brand growth.",Marketing Sales Digital Marketing SEO Social Media Analytics Communication,BBA BBS MBA Master of Business Administration
Sales Representative,BizGrow Group,"Pokhara, Nepal","$35,000 - $50,000",Full-Time,"Identify new clients, execute product pitches, and achieve sales targets. Exceptional communication and negotiation skills needed.",Sales communication Negotiating Leadership Relationship Management Marketing,BBA BBS Bachelor of Commerce BCom
Python Developer,AI Core Labs,Remote,"$85,000 - $110,000",Full-Time,Develop and maintain clean Python backend code. Collaborate with data scientists to deploy AI models in a production environment.,Python Django Flask SQL REST APIs Git Docker AWS Linux API development,Bsc.CSIT Bachelors in Computer Science Btech Master
Database Administrator,DataSafe Corp,"Kathmandu, Nepal","$75,000 - $95,000",Full-Time,"Manage database servers, optimize SQL query execution, ensure database backups are successfully taken, and secure user data.",SQL PostgreSQL MySQL Database Administration security tuning scripting Backup,Bsc.CSIT Bachelors in Information Technology Bachelors in Computer Science
Cybersecurity Analyst,SecureNet Solutions,"Kathmandu, Nepal","$90,000 - $120,000",Full-Time,"Audit and secure organization software systems. Detect vulnerabilities, implement security firewalls, and respond to cyber threats.",Cybersecurity Linux Network security cryptography vulnerability assessment pentesting,Bachelors in Computer Engineering BIT Bachelor of Science in Information Technology
Full Stack Developer,InnoSoft Nepal,"Lalitpur, Nepal","$90,000 - $115,000",Full-Time,"Looking for a Full Stack Developer fluent in Node.js and React. Manage database models, develop APIs, and design web layouts.",Node.js React JavaScript SQL REST APIs HTML CSS Git Software Engineering,Bsc.CSIT Bachelors in Computer Science Bsc.IT
Machine Learning Engineer,Brainwave Systems,Remote,"$110,000 - $145,000",Full-Time,"Research and deploy Machine Learning models. Build scalable training pipelines and use NLP, Computer Vision, and neural networks.",Python Machine Learning Deep Learning TensorFlow PyTorch Data Science NLP,Msc PhD Master of Science in Computer Science data science
HR Manager,Apex HR Consulting,"Kathmandu, Nepal","$55,000 - $75,000",Full-Time,"Manage recruiting, onboarding, employee engagement, and enforce company policies. Must exhibit excellent leadership qualities.",Leadership Management HR recruiting onboarding Communication problem solving,MBA BBA BBS Master in Business Management
Senior Software Engineer,Tech Solutions Inc. (Branch 1),"Kathmandu, Nepal","$80,000 - $100,000",Full-Time,"We are looking for a Software Engineer to develop high-quality applications. You will be responsible for coding, debugging, and deploying React and Node.js web applications.",React Node.js JavaScript Git SQL HTML CSS Software Engineering,Bsc.CSIT Bachelor in CSIT Bachelors in Computer Science
Junior Data Scientist,Data Insights Ltd. (Branch 1),"Pokhara, Nepal","$90,000 - $120,000",Full-Time,"Join our team as a Data Scientist to build predictive models, analyze large data sets, and extract actionable insights using Python and Machine Learning techniques.",Python Machine Learning Data Science SQL Statistics NumPy Pandas,Msc PhD Bachelors in Computer Science Statistics Mathematics
Junior React Developer,WebCraft Studios (Branch 1),"Lalitpur, Nepal","$60,000 - $80,000",Contract,"Looking for a frontend specialist with extensive experience in React, TypeScript, and modern UI design framework integration.",React TypeScript JavaScript HTML CSS Design Tailwind CSS UI Design,Bachelors in Computer Science Bsc.IT BIM BCA
Senior Project Manager,Global Solutions (Branch 1),"Lalitpur, Nepal","$70,000 - $95,000",Full-Time,Seeking an experienced Project Manager to lead software development projects. Leadership and agile project management skills are required.,Project Management Leadership Management Communication Analysis agile,MBA BBA BBS Bachelor of Business Administration
Junior Content Writer,Creative Media Corp (Branch 1),Remote,"$30,000 - $45,000",Part-Time,"We need a Content Writer to write SEO-optimized articles, blog posts, and website copies. Must have exceptional writing and editing skills.",Writing Editing Content Strategy SEO Research Communication Creative Writing,BA Master of Arts Bachelor of Arts Journalism
Junior DevOps Engineer,CloudScale Systems (Branch 1),"Kathmandu, Nepal","$100,000 - $130,000",Full-Time,"Manage our cloud infrastructure and deployment pipelines. Implement CI/CD pipelines, Docker containers, and monitor AWS services.",Docker AWS DevOps CI/CD Linux Git bash scripting Kubernetes,BTech Bachelors in Computer Engineering BCE Bachelors in Information Technology
Senior UI/UX Designer,Creative Minds Studio (Branch 1),"Kathmandu, Nepal","$50,000 - $70,000",Full-Time,"Designing user interfaces and user experiences for mobile and web platforms. Create wireframes, mockups, and work closely with backend developers.",Design UI/UX Figma Illustrator Photoshop wireframes Research,BFA Bachelor of Fine Arts Bachelor of Science Graphic Design
Junior Marketing Executive,BrandBoosters Nepal (Branch 1),"Kathmandu, Nepal","$40,000 - $55,000",Full-Time,"Handle digital marketing campaigns, manage social media platforms, and execute marketing plans to promote brand growth.",Marketing Sales Digital Marketing SEO Social Media Analytics Communication,BBA BBS MBA Master of Business Administration
Junior Sales Representative,BizGrow Group (Branch 1),"Pokhara, Nepal","$35,000 - $50,000",Full-Time,"Identify new clients, execute product pitches, and achieve sales targets. Exceptional communication and negotiation skills needed.",Sales communication Negotiating Leadership Relationship Management Marketing,BBA BBS Bachelor of Commerce BCom
Senior Python Developer,AI Core Labs (Branch 1),Remote,"$85,000 - $110,000",Full-Time,Develop and maintain clean Python backend code. Collaborate with data scientists to deploy AI models in a production environment.,Python Django Flask SQL REST APIs Git Docker AWS Linux API development,Bsc.CSIT Bachelors in Computer Science Btech Master
Junior Database Administrator,DataSafe Corp (Branch 1),"Kathmandu, Nepal","$75,000 - $95,000",Full-Time,"Manage database servers, optimize SQL query execution, ensure database backups are successfully taken, and secure user data.",SQL PostgreSQL MySQL Database Administration security tuning scripting Backup,Bsc.CSIT Bachelors in Information Technology Bachelors in Computer Science
Junior Cybersecurity Analyst,SecureNet Solutions (Branch 1),"Kathmandu, Nepal","$90,000 - $120,000",Full-Time,"Audit and secure organization software systems. Detect vulnerabilities, implement security firewalls, and respond to cyber threats.",Cybersecurity Linux Network security cryptography vulnerability assessment pentesting,Bachelors in Computer Engineering BIT Bachelor of Science in Information Technology
Senior Full Stack Developer,InnoSoft Nepal (Branch 1),"Lalitpur, Nepal","$90,000 - $115,000",Full-Time,"Looking for a Full Stack Developer fluent in Node.js and React. Manage database models, develop APIs, and design web layouts.",Node.js React JavaScript SQL REST APIs HTML CSS Git Software Engineering,Bsc.CSIT Bachelors in Computer Science Bsc.IT
Junior Machine Learning Engineer,Brainwave Systems (Branch 1),Remote,"$110,000 - $145,000",Full-Time,"Research and deploy Machine Learning models. Build scalable training pipelines and use NLP, Computer Vision, and neural networks.",Python Machine Learning Deep Learning TensorFlow PyTorch Data Science NLP,Msc PhD Master of Science in Computer Science data science
Junior HR Manager,Apex HR Consulting (Branch 1),"Kathmandu, Nepal","$55,000 - $75,000",Full-Time,"Manage recruiting, onboarding, employee engagement, and enforce company policies. Must exhibit excellent leadership qualities.",Leadership Management HR recruiting onboarding Communication problem solving,MBA BBA BBS Master in Business Management
Senior Software Engineer,Tech Solutions Inc. (Branch 2),"Kathmandu, Nepal","$80,000 - $100,000",Full-Time,"We are looking for a Software Engineer to develop high-quality applications. You will be responsible for coding, debugging, and deploying React and Node.js web applications.",React Node.js JavaScript Git SQL HTML CSS Software Engineering,Bsc.CSIT Bachelor in CSIT Bachelors in Computer Science
Junior Data Scientist,Data Insights Ltd. (Branch 2),"Pokhara, Nepal","$90,000 - $120,000",Full-Time,"Join our team as a Data Scientist to build predictive models, analyze large data sets, and extract actionable insights using Python and Machine Learning techniques.",Python Machine Learning Data Science SQL Statistics NumPy Pandas,Msc PhD Bachelors in Computer Science Statistics Mathematics
Junior React Developer,WebCraft Studios (Branch 2),"Lalitpur, Nepal","$60,000 - $80,000",Contract,"Looking for a frontend specialist with extensive experience in React, TypeScript, and modern UI design framework integration.",React TypeScript JavaScript HTML CSS Design Tailwind CSS UI Design,Bachelors in Computer Science Bsc.IT BIM BCA
Senior Project Manager,Global Solutions (Branch 2),"Lalitpur, Nepal","$70,000 - $95,000",Full-Time,Seeking an experienced Project Manager to lead software development projects. Leadership and agile project management skills are required.,Project Management Leadership Management Communication Analysis agile,MBA BBA BBS Bachelor of Business Administration
Junior Content Writer,Creative Media Corp (Branch 2),Remote,"$30,000 - $45,000",Part-Time,"We need a Content Writer to write SEO-optimized articles, blog posts, and website copies. Must have exceptional writing and editing skills.",Writing Editing Content Strategy SEO Research Communication Creative Writing,BA Master of Arts Bachelor of Arts Journalism
Junior DevOps Engineer,CloudScale Systems (Branch 2),"Kathmandu, Nepal","$100,000 - $130,000",Full-Time,"Manage our cloud infrastructure and deployment pipelines. Implement CI/CD pipelines, Docker containers, and monitor AWS services.",Docker AWS DevOps CI/CD Linux Git bash scripting Kubernetes,BTech Bachelors in Computer Engineering BCE Bachelors in Information Technology
Senior UI/UX Designer,Creative Minds Studio (Branch 2),"Kathmandu, Nepal","$50,000 - $70,000",Full-Time,"Designing user interfaces and user experiences for mobile and web platforms. Create wireframes, mockups, and work closely with backend developers.",Design UI/UX Figma Illustrator Photoshop wireframes Research,BFA Bachelor of Fine Arts Bachelor of Science Graphic Design
Junior Marketing Executive,BrandBoosters Nepal (Branch 2),"Kathmandu, Nepal","$40,000 - $55,000",Full-Time,"Handle digital marketing campaigns, manage social media platforms, and execute marketing plans to promote brand growth.",Marketing Sales Digital Marketing SEO Social Media Analytics Communication,BBA BBS MBA Master of Business Administration
Junior Sales Representative,BizGrow Group (Branch 2),"Pokhara, Nepal","$35,000 - $50,000",Full-Time,"Identify new clients, execute product pitches, and achieve sales targets. Exceptional communication and negotiation skills needed.",Sales communication Negotiating Leadership Relationship Management Marketing,BBA BBS Bachelor of Commerce BCom
Senior Python Developer,AI Core Labs (Branch 2),Remote,"$85,000 - $110,000",Full-Time,Develop and maintain clean Python backend code. Collaborate with data scientists to deploy AI models in a production environment.,Python Django Flask SQL REST APIs Git Docker AWS Linux API development,Bsc.CSIT Bachelors in Computer Science Btech Master
Junior Database Administrator,DataSafe Corp (Branch 2),"Kathmandu, Nepal","$75,000 - $95,000",Full-Time,"Manage database servers, optimize SQL query execution, ensure database backups are successfully taken, and secure user data.",SQL PostgreSQL MySQL Database Administration security tuning scripting Backup,Bsc.CSIT Bachelors in Information Technology Bachelors in Computer Science
Junior Cybersecurity Analyst,SecureNet Solutions (Branch 2),"Kathmandu, Nepal","$90,000 - $120,000",Full-Time,"Audit and secure organization software systems. Detect vulnerabilities, implement security firewalls, and respond to cyber threats.",Cybersecurity Linux Network security cryptography vulnerability assessment pentesting,Bachelors in Computer Engineering BIT Bachelor of Science in Information Technology
Senior Full Stack Developer,InnoSoft Nepal (Branch 2),"Lalitpur, Nepal","$90,000 - $115,000",Full-Time,"Looking for a Full Stack Developer fluent in Node.js and React. Manage database models, develop APIs, and design web layouts.",Node.js React JavaScript SQL REST APIs HTML CSS Git Software Engineering,Bsc.CSIT Bachelors in Computer Science Bsc.IT
Junior Machine Learning Engineer,Brainwave Systems (Branch 2),Remote,"$110,000 - $145,000",Full-Time,"Research and deploy Machine Learning models. Build scalable training pipelines and use NLP, Computer Vision, and neural networks.",Python Machine Learning Deep Learning TensorFlow PyTorch Data Science NLP,Msc PhD Master of Science in Computer Science data science
Junior HR Manager,Apex HR Consulting (Branch 2),"Kathmandu, Nepal","$55,000 - $75,000",Full-Time,"Manage recruiting, onboarding, employee engagement, and enforce company policies. Must exhibit excellent leadership qualities.",Leadership Management HR recruiting onboarding Communication problem solving,MBA BBA BBS Master in Business Management
Senior Software Engineer,Tech Solutions Inc. (Branch 3),"Kathmandu, Nepal","$80,000 - $100,000",Full-Time,"We are looking for a Software Engineer to develop high-quality applications. You will be responsible for coding, debugging, and deploying React and Node.js web applications.",React Node.js JavaScript Git SQL HTML CSS Software Engineering,Bsc.CSIT Bachelor in CSIT Bachelors in Computer Science
Junior Data Scientist,Data Insights Ltd. (Branch 3),"Pokhara, Nepal","$90,000 - $120,000",Full-Time,"Join our team as a Data Scientist to build predictive models, analyze large data sets, and extract actionable insights using Python and Machine Learning techniques.",Python Machine Learning Data Science SQL Statistics NumPy Pandas,Msc PhD Bachelors in Computer Science Statistics Mathematics
Junior React Developer,WebCraft Studios (Branch 3),"Lalitpur, Nepal","$60,000 - $80,000",Contract,"Looking for a frontend specialist with extensive experience in React, TypeScript, and modern UI design framework integration.",React TypeScript JavaScript HTML CSS Design Tailwind CSS UI Design,Bachelors in Computer Science Bsc.IT BIM BCA
Senior Project Manager,Global Solutions (Branch 3),"Lalitpur, Nepal","$70,000 - $95,000",Full-Time,Seeking an experienced Project Manager to lead software development projects. Leadership and agile project management skills are required.,Project Management Leadership Management Communication Analysis agile,MBA BBA BBS Bachelor of Business Administration
Junior Content Writer,Creative Media Corp (Branch 3),Remote,"$30,000 - $45,000",Part-Time,"We need a Content Writer to write SEO-optimized articles, blog posts, and website copies. Must have exceptional writing and editing skills.",Writing Editing Content Strategy SEO Research Communication Creative Writing,BA Master of Arts Bachelor of Arts Journalism
